#Created by ield								
#On 11,11,2020								
#unit: meters								
#design frequency: 60000000 Hz								
#Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	0	0	0	0.44698	0	0	0	0
1,2	0.0025	0	0	0.45452	0.45	0	0	0
1,3	0.005	0	0	0.47614	0.9	0	0	0
1,4	0.0075	0	0	0.50891	1.35	0	0	0
1,5	0.01	0	0	0.54841	1.8	0	0	0
17,17	0.04	0.04	0	0.4622	244.8	0	0	0
17,18	0.0425	0.04	0	0	259.65	0	0	0
18,1	0	0.0425	0	0	7.65	0	0	0
18,2	0.0025	0.0425	0	0	23.4	0	0	0
18,3	0.005	0.0425	0	0	39.15	0	0	0
18,4	0.0075	0.0425	0	0	54.9	0	0	0
18,5	0.01	0.0425	0	0	70.65	0	0	0
18,6	0.0125	0.0425	0	0	86.4	0	0	0
18,7	0.015	0.0425	0	0	102.15	0	0	0
18,8	0.0175	0.0425	0	0	117.9	0	0	0
18,9	0.02	0.0425	0	0	133.65	0	0	0
18,10	0.0225	0.0425	0	0	149.4	0	0	0
18,11	0.025	0.0425	0	0	165.15	0	0	0
18,12	0.0275	0.0425	0	0	180.9	0	0	0
18,13	0.03	0.0425	0	0	196.65	0	0	0
18,14	0.0325	0.0425	0	0	212.4	0	0	0
18,15	0.035	0.0425	0	0	228.15	0	0	0
18,16	0.0375	0.0425	0	0	243.9	0	0	0
18,17	0.04	0.0425	0	0	259.65	0	0	0
18,18	0.0425	0.0425	0	0	275.4	0	0	0
